epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.7665,1.47342,3.1888,1.4198,0.45955,0.39914,0.27603,0.16948,1.25288,2.35309,1.31551,0.000332176,0.000332176,0.000332176
2,188.665,1.34776,2.38969,1.35943,0.31307,0.43274,0.35691,0.22003,1.25949,2.02308,1.32249,0.000658921,0.000658921,0.000658921
3,276.519,1.3373,2.07825,1.35409,0.34794,0.40128,0.3806,0.23943,1.26343,1.82892,1.31377,0.000979066,0.000979066,0.000979066
4,363.588,1.31555,1.92222,1.34219,0.57512,0.43781,0.41702,0.26092,1.25609,1.66188,1.3121,0.0009703,0.0009703,0.0009703
5,450.771,1.28685,1.8482,1.3253,0.38362,0.50715,0.41782,0.26242,1.23988,1.68556,1.33038,0.0009604,0.0009604,0.0009604
6,537.938,1.27636,1.79335,1.32136,0.62252,0.4848,0.48125,0.322,1.14799,1.53167,1.24864,0.0009505,0.0009505,0.0009505
7,625.011,1.25649,1.74086,1.31087,0.40148,0.49182,0.47014,0.30231,1.2045,1.53091,1.29039,0.0009406,0.0009406,0.0009406
8,712.246,1.24213,1.70296,1.29666,0.44637,0.48953,0.46899,0.30943,1.18185,1.51752,1.29838,0.0009307,0.0009307,0.0009307
9,799.726,1.22473,1.65799,1.28599,0.45604,0.53062,0.49367,0.32758,1.15139,1.44982,1.27412,0.0009208,0.0009208,0.0009208
10,886.186,1.22132,1.65831,1.29128,0.47211,0.56138,0.52323,0.35349,1.10875,1.38321,1.23752,0.0009109,0.0009109,0.0009109
11,973.107,1.1977,1.58265,1.27295,0.44169,0.50251,0.47184,0.31346,1.14116,1.49082,1.2404,0.000901,0.000901,0.000901
12,1060.15,1.19954,1.58452,1.27324,0.58197,0.51252,0.53049,0.35992,1.10222,1.35199,1.22865,0.0008911,0.0008911,0.0008911
13,1147.46,1.19681,1.57632,1.27688,0.522,0.53136,0.51735,0.34811,1.12593,1.37482,1.26672,0.0008812,0.0008812,0.0008812
14,1234.46,1.16958,1.54265,1.26205,0.50285,0.55009,0.54276,0.36823,1.10829,1.32786,1.22681,0.0008713,0.0008713,0.0008713
15,1321.91,1.17158,1.53793,1.26347,0.49039,0.57793,0.53296,0.35652,1.12241,1.42531,1.25519,0.0008614,0.0008614,0.0008614
16,1408.57,1.17297,1.52104,1.25899,0.49562,0.58423,0.54784,0.37668,1.08064,1.29634,1.23496,0.0008515,0.0008515,0.0008515
17,1495.44,1.16707,1.50111,1.25834,0.48825,0.6067,0.5693,0.39206,1.06638,1.26589,1.21826,0.0008416,0.0008416,0.0008416
18,1582.53,1.15656,1.49169,1.25274,0.48304,0.57307,0.54093,0.37069,1.08629,1.32241,1.2239,0.0008317,0.0008317,0.0008317
19,1668.91,1.16269,1.47911,1.2553,0.49595,0.52801,0.54102,0.37002,1.08194,1.29723,1.23157,0.0008218,0.0008218,0.0008218
20,1754.88,1.14294,1.46793,1.23896,0.49744,0.60209,0.55373,0.38091,1.07291,1.29776,1.22461,0.0008119,0.0008119,0.0008119
21,1840.93,1.1405,1.44785,1.24064,0.51138,0.59482,0.56965,0.39376,1.07794,1.25185,1.21195,0.000802,0.000802,0.000802
22,1927.45,1.14747,1.4428,1.23904,0.50956,0.56031,0.56496,0.39437,1.05975,1.22502,1.20542,0.0007921,0.0007921,0.0007921
23,2013.79,1.13436,1.43714,1.24201,0.50144,0.59606,0.57571,0.39834,1.06631,1.23118,1.2083,0.0007822,0.0007822,0.0007822
24,2100.06,1.11897,1.41779,1.23073,0.53554,0.59284,0.57709,0.40154,1.05868,1.21556,1.2221,0.0007723,0.0007723,0.0007723
25,2186.19,1.11405,1.39902,1.22134,0.53407,0.61449,0.59426,0.41171,1.05652,1.19565,1.20642,0.0007624,0.0007624,0.0007624
26,2272.38,1.11715,1.39891,1.23129,0.52703,0.59741,0.58993,0.41161,1.05119,1.19986,1.2096,0.0007525,0.0007525,0.0007525
27,2358.99,1.10994,1.39037,1.22258,0.49632,0.63147,0.58361,0.40288,1.06631,1.2224,1.2131,0.0007426,0.0007426,0.0007426
28,2445.79,1.11618,1.39871,1.22808,0.48087,0.65938,0.59934,0.41055,1.07935,1.17883,1.23077,0.0007327,0.0007327,0.0007327
29,2541.83,1.10319,1.38134,1.22104,0.52318,0.60033,0.59769,0.4204,1.0448,1.1793,1.2044,0.0007228,0.0007228,0.0007228
30,2646.51,1.09952,1.3741,1.2231,0.53088,0.6019,0.59421,0.41073,1.06688,1.19136,1.22012,0.0007129,0.0007129,0.0007129
31,2741.53,1.10285,1.363,1.22809,0.52101,0.63816,0.60971,0.42042,1.05237,1.15021,1.20307,0.000703,0.000703,0.000703
32,2836.4,1.08555,1.32285,1.20833,0.56521,0.61226,0.6065,0.42646,1.03875,1.15439,1.19631,0.0006931,0.0006931,0.0006931
33,2931.46,1.0921,1.32792,1.21527,0.54897,0.63202,0.62014,0.43973,1.04311,1.15902,1.196,0.0006832,0.0006832,0.0006832
34,3027.28,1.08449,1.31874,1.21245,0.53793,0.64464,0.60821,0.42757,1.02981,1.15981,1.19651,0.0006733,0.0006733,0.0006733
35,3122.57,1.07864,1.31577,1.20796,0.53196,0.66543,0.62683,0.44026,1.03223,1.14156,1.1926,0.0006634,0.0006634,0.0006634
36,3215.07,1.07219,1.29702,1.20182,0.54081,0.65372,0.63155,0.44084,1.0461,1.12955,1.19542,0.0006535,0.0006535,0.0006535
37,3306.15,1.08189,1.30284,1.20734,0.52238,0.68093,0.63104,0.44441,1.03289,1.11794,1.19918,0.0006436,0.0006436,0.0006436
38,3394.47,1.07036,1.29369,1.19908,0.58477,0.6137,0.63585,0.44901,1.03445,1.12488,1.19628,0.0006337,0.0006337,0.0006337
39,3484.32,1.0656,1.2895,1.19851,0.56434,0.6699,0.63274,0.45072,1.01173,1.09452,1.1801,0.0006238,0.0006238,0.0006238
40,3577.36,1.07057,1.27433,1.19716,0.59155,0.62217,0.63861,0.45278,1.02317,1.10576,1.17972,0.0006139,0.0006139,0.0006139
41,3667.41,1.04984,1.26131,1.18799,0.56214,0.64201,0.64204,0.45541,1.02436,1.09425,1.18592,0.000604,0.000604,0.000604
42,3754.31,1.06553,1.26578,1.19585,0.59803,0.63529,0.65155,0.45974,1.02632,1.07118,1.19257,0.0005941,0.0005941,0.0005941
43,3841.05,1.05056,1.24417,1.18583,0.59113,0.64906,0.63387,0.44903,1.0255,1.08839,1.185,0.0005842,0.0005842,0.0005842
44,3928,1.05884,1.24278,1.19196,0.60693,0.60073,0.63972,0.45217,1.02923,1.08521,1.19466,0.0005743,0.0005743,0.0005743
45,4014.93,1.04871,1.23427,1.18448,0.58956,0.65797,0.65588,0.47102,1.0092,1.06182,1.1762,0.0005644,0.0005644,0.0005644
46,4103.73,1.03971,1.21687,1.17581,0.5924,0.62846,0.64436,0.456,1.03178,1.07984,1.18392,0.0005545,0.0005545,0.0005545
47,4190.1,1.03502,1.22268,1.17703,0.56912,0.6385,0.64699,0.45705,1.02509,1.09659,1.18339,0.0005446,0.0005446,0.0005446
48,4277.14,1.03518,1.22269,1.17665,0.60774,0.62409,0.64788,0.45988,1.0161,1.09446,1.17736,0.0005347,0.0005347,0.0005347
49,4364.01,1.0365,1.19905,1.17548,0.57277,0.67182,0.6513,0.46462,1.00546,1.0737,1.17415,0.0005248,0.0005248,0.0005248
50,4450.99,1.02665,1.18921,1.1694,0.59337,0.66119,0.6666,0.47647,1.00231,1.048,1.17363,0.0005149,0.0005149,0.0005149
51,4537.51,1.02355,1.19611,1.16769,0.58999,0.66797,0.65785,0.47018,1.01289,1.04939,1.17639,0.000505,0.000505,0.000505
52,4624.28,1.02522,1.17701,1.16868,0.61613,0.62514,0.66439,0.47741,1.00303,1.05147,1.16784,0.0004951,0.0004951,0.0004951
53,4715.47,1.01625,1.16546,1.16739,0.61936,0.66274,0.68213,0.48408,0.99765,1.03684,1.17319,0.0004852,0.0004852,0.0004852
54,4803.09,1.01334,1.17596,1.16568,0.62145,0.6528,0.66223,0.47398,0.99532,1.04685,1.16527,0.0004753,0.0004753,0.0004753
55,4890.33,1.00701,1.1495,1.15681,0.61148,0.67616,0.68208,0.48875,0.9961,1.02032,1.16739,0.0004654,0.0004654,0.0004654
56,4977.48,1.00808,1.16606,1.16087,0.60209,0.68366,0.68293,0.49019,0.99557,1.02343,1.17068,0.0004555,0.0004555,0.0004555
57,5064.97,1.00917,1.1539,1.15411,0.64851,0.63106,0.6774,0.48884,0.98151,1.01719,1.15644,0.0004456,0.0004456,0.0004456
58,5153.51,1.00435,1.14207,1.15367,0.60344,0.68908,0.68257,0.48754,0.98747,1.02167,1.16019,0.0004357,0.0004357,0.0004357
59,5241.06,1.0069,1.1298,1.15376,0.64549,0.65041,0.69117,0.49652,0.98146,1.00821,1.16314,0.0004258,0.0004258,0.0004258
60,5327.97,0.9952,1.11867,1.15173,0.58069,0.71998,0.68235,0.49017,0.97868,1.0085,1.15512,0.0004159,0.0004159,0.0004159
61,5415.09,0.98856,1.11331,1.14724,0.61486,0.69211,0.69673,0.50225,0.97815,0.99899,1.16458,0.000406,0.000406,0.000406
62,5502.85,0.98202,1.11843,1.14535,0.64244,0.66558,0.69585,0.49791,0.99589,1.0024,1.17147,0.0003961,0.0003961,0.0003961
63,5589.91,0.98294,1.09719,1.13665,0.65647,0.6423,0.69379,0.50294,0.98098,0.99108,1.15776,0.0003862,0.0003862,0.0003862
64,5677.2,0.97038,1.08122,1.13259,0.65717,0.67147,0.70677,0.50841,0.98531,0.98457,1.16775,0.0003763,0.0003763,0.0003763
65,5764.36,0.98494,1.08183,1.14222,0.65941,0.65764,0.70622,0.507,0.98774,0.99738,1.163,0.0003664,0.0003664,0.0003664
66,5852.26,0.97582,1.08739,1.1397,0.67117,0.6642,0.70671,0.50869,0.99457,0.99191,1.16803,0.0003565,0.0003565,0.0003565
67,5940.51,0.96748,1.07225,1.13573,0.65057,0.67409,0.70572,0.51215,0.98231,1.00192,1.15592,0.0003466,0.0003466,0.0003466
68,6027.84,0.96632,1.07752,1.12749,0.65576,0.68968,0.71763,0.5217,0.97581,0.97683,1.16019,0.0003367,0.0003367,0.0003367
69,6114.98,0.96016,1.05795,1.13019,0.61976,0.71596,0.70988,0.51744,0.97042,0.97444,1.15729,0.0003268,0.0003268,0.0003268
70,6202.02,0.95306,1.07054,1.12585,0.65563,0.68841,0.71211,0.51496,0.97611,0.98292,1.16203,0.0003169,0.0003169,0.0003169
71,6288.69,0.95746,1.04453,1.13113,0.70476,0.65936,0.71506,0.52061,0.97413,0.97488,1.16102,0.000307,0.000307,0.000307
